source,version,published_year,scope,activity_type,name,is_renewable,is_biofuel,is_refrigerant,kgco2e,unit_name,heat_content,biogenic_kgco2e,cost_inr
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Ethanol (100%) (Non Biogenic),False,False,False,1.52004488135238,L,23.4121666996239,,45.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Vegetable Oil (Non Biogenic),False,False,False,2.58708816085525,L,33.4459524280341,,75.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Aviation Gasoline - Aviation Gasoline Aircraft,False,False,False,2.25519190411565,L,34.997,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Gasoline Motorcycles,False,False,False,2.36843585877994,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Other Gasoline Non-Road Vehicles,False,False,False,2.33853026156113,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Diesel Fuel - Diesel Agricultural Equipment,False,False,False,2.72604952901584,L,38.5959153857992,,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Gasoline Passenger Cars,False,False,False,2.32798028646701,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,"Motor Gasoline - Gasoline Light-duty Trucks (Vans, Pickup Trucks, SUVs)",False,False,False,2.32886882388262,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Hybrid (Gasoline) Passenger Cars,False,False,False,2.33127080565021,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Gasoline Heavy-duty Vehicles,False,False,False,2.32985324518645,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Gasoline Ships and Boats,False,False,False,2.33956581600747,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Motor Gasoline - Gasoline Agricultural Equipment,False,False,False,2.34415184284126,L,34.981769078784,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Diesel Fuel - Diesel Ships and Boats,False,False,False,2.72914298375222,L,38.5959153857992,,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Diesel Fuel - Diesel Passenger Cars,False,False,False,2.69885499748722,L,38.5959153857992,,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Diesel Fuel - Diesel Light-duty Trucks,False,False,False,2.69901762180283,L,38.5959153857992,,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Diesel Fuel - Diesel Medium- and Heavy-duty Vehicles,False,False,False,2.70048566288342,L,38.5959153857992,,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Jet Fuel - Jet Fuel Aircraft,False,False,False,2.5966791913983,L,34.997,,95.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Compressed Natural Gas - CNG Light-duty Vehicles,False,False,False,0.1593996199254991,m3,0.029,,35.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Compressed Natural Gas - CNG Medium- and Heavy-duty Vehicles,False,False,False,0.2501610005434323,m3,0.029,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Natural Gas,False,False,False,0.0019244896075398,m3,0.0382276783880349,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Blast Furnace Gas,False,False,False,0.000891339880762,m3,0.003427823013352,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Coke Oven Gas,False,False,False,0.0009918856593304,m3,0.0223181085325856,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Fuel Gas,False,False,False,0.0029038997583862,m3,0.0517154167666593,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Propane Gas,False,False,False,0.0054824165343326,m3,0.0937435076260193,,58.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Landfill Gas (Non Biogenic),False,False,False,0.0008962289166054,m3,0.0180705887116928,,35.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Other Biomass Gases (Non Biogenic),False,False,False,0.0012103710110856,m3,0.0244046094972348,,35.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Electricity - Mobile - Electric Vehicle,False,False,False,0.0,kWh,,,6.5
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Anthracite Coal,False,False,False,2.8879982923875,kg,29.17967,,8.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Bituminous Coal,False,False,False,2.58350813969821,kg,28.99359,,8.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Sub-bituminous Coal,False,False,False,1.86159381384656,kg,20.06175,,8.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Lignite Coal,False,False,False,1.54213674273225,kg,16.5262300000001,,8.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Diesel,False,False,False,2.7244005,L,40.7208464150138,,87.5
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Rendered Animal Fat (Non Biogenic),False,False,False,2.34848789687023,L,34.8395337792022,,50.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Ethanol (100%) - Ethanol Light-duty Vehicles,False,True,False,0.082574636041313,L,23.4121666431437,1.51898930266445,45.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Ethanol (100%) - Ethanol Medium- and Heavy-duty Vehicles,False,True,False,0.120631737453937,L,23.4121666431437,1.51898930266445,45.0
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Biodiesel (100%) - Biodiesel Passenger Cars,False,True,False,0.001658340060431,L,35.6756825038381,2.49642589742245,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Biodiesel (100%) - Biodiesel Light-duty Vehicles,False,True,False,0.00119400484351,L,35.6756825038381,2.49642589742245,87.5
GHG Protocol,ar5,2022,Scope 1,Mobile Combustion,Biodiesel (100%) - Biodiesel Medium- and Heavy-duty Vehicles,False,True,False,0.0034057061026,L,35.6756825038381,2.49642589742245,87.5
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Agricultural Byproducts,False,True,False,0.018269983245089,kg,9.59475,1.07464605279846,8.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Peat,False,True,False,0.017716347389177,kg,9.304,0.986259976110269,15.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Solid Byproducts,False,True,False,0.023009106171693,kg,12.08357,1.20840756205842,5.0
GHG Protocol,ar5,2022,Scope 1,Stationary Combustion,Wood and Wood Residuals,False,True,False,0.022266565021806,kg,20.32924,1.80737608086309,25.0
